type	name	value	zone	address	bytes	access	other
Factory	TIM2_CCMR2	---	Memory	0x5308	1	readWrite	strong	
Factory	TIM2_CCMR3	---	Memory	0x5309	1	readWrite	strong	
Factory	TIM2_CCER1	---	Memory	0x530a	1	readWrite	strong	
Factory	TIM2_CCER2	---	Memory	0x530b	1	readWrite	strong	
Factory	TIM2_CNTRH	---	Memory	0x530c	1	readWrite	strong	
Factory	TIM2_CNTRL	---	Memory	0x530d	1	readWrite	strong	
Factory	TIM2_PSCR	---	Memory	0x530e	1	readWrite	strong	
Factory	TIM2_ARRH	---	Memory	0x530f	1	readWrite	strong	
Factory	TIM2_ARRL	---	Memory	0x5310	1	readWrite	strong	
Factory	TIM2_CCR1H	---	Memory	0x5311	1	readWrite	strong	
Factory	TIM2_CCR1L	---	Memory	0x5312	1	readWrite	strong	
Factory	TIM2_CCR2H	---	Memory	0x5313	1	readWrite	strong	
Factory	TIM2_CCR2L	---	Memory	0x5314	1	readWrite	strong	
Factory	TIM2_CCR3H	---	Memory	0x5315	1	readWrite	strong	
Factory	TIM2_CCR3L	---	Memory	0x5316	1	readWrite	strong	
Factory	TIM4_CR1	---	Memory	0x5340	1	readWrite	strong	
Factory	TIM4_IER	---	Memory	0x5343	1	readWrite	strong	
Factory	TIM4_SR	---	Memory	0x5344	1	readWrite	strong	
Factory	TIM4_EGR	---	Memory	0x5345	1	readWrite	strong	
Factory	TIM4_CNTR	---	Memory	0x5346	1	readWrite	strong	
Factory	TIM4_PSCR	---	Memory	0x5347	1	readWrite	strong	
Factory	TIM4_ARR	---	Memory	0x5348	1	readWrite	strong	
Factory	ADC_DB0RH	---	Memory	0x53e0	1	readWrite	strong	
Factory	ADC_DB0RL	---	Memory	0x53e1	1	readWrite	strong	
Factory	ADC_DB1RH	---	Memory	0x53e2	1	readWrite	strong	
Factory	ADC_DB1RL	---	Memory	0x53e3	1	readWrite	strong	
Factory	ADC_DB2RH	---	Memory	0x53e4	1	readWrite	strong	
Factory	ADC_DB2RL	---	Memory	0x53e5	1	readWrite	strong	
Factory	ADC_DB3RH	---	Memory	0x53e6	1	readWrite	strong	
Factory	ADC_DB3RL	---	Memory	0x53e7	1	readWrite	strong	
Factory	ADC_DB4RH	---	Memory	0x53e8	1	readWrite	strong	
Factory	ADC_DB4RL	---	Memory	0x53e9	1	readWrite	strong	
Factory	ADC_DB5RH	---	Memory	0x53ea	1	readWrite	strong	
Factory	ADC_DB5RL	---	Memory	0x53eb	1	readWrite	strong	
Factory	ADC_DB6RH	---	Memory	0x53ec	1	readWrite	strong	
Factory	ADC_DB6RL	---	Memory	0x53ed	1	readWrite	strong	
Factory	ADC_DB7RH	---	Memory	0x53ee	1	readWrite	strong	
Factory	ADC_DB7RL	---	Memory	0x53ef	1	readWrite	strong	
Factory	ADC_DB8RH	---	Memory	0x53f0	1	readWrite	strong	
Factory	ADC_DB8RL	---	Memory	0x53f1	1	readWrite	strong	
Factory	ADC_DB9RH	---	Memory	0x53f2	1	readWrite	strong	
Factory	ADC_DB9RL	---	Memory	0x53f3	1	readWrite	strong	
Factory	ADC_CSR	---	Memory	0x5400	1	readWrite	strong	
Factory	ADC_CR1	---	Memory	0x5401	1	readWrite	strong	
Factory	ADC_CR2	---	Memory	0x5402	1	readWrite	strong	
Factory	ADC_CR3	---	Memory	0x5403	1	readWrite	strong	
Factory	ADC_DRH	---	Memory	0x5404	1	readWrite	strong	
Factory	ADC_DRL	---	Memory	0x5405	1	readWrite	strong	
Factory	ADC_TDRH	---	Memory	0x5406	1	readWrite	strong	
Factory	ADC_TDRL	---	Memory	0x5407	1	readWrite	strong	
